01.10.23,Limmerhultarna's Solstorm,http://www.k9data.com/fivegen.asp?ID=886390,01.02.09,2009,Schwarz,Blackthorn Racer,Searover Tan's Goblingal,1,,,
01.02.25,Lindbiski Legenda,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN16931/05&R=122,18.02.05,2005,Schwarz,Paukku-Noudon Fauni,Sukkela Fantasia,1,15.10.06,1J 8M,Epilepsie
01.02.25,Lintukarin Armastaipale,http://www.k9data.com/fivegen.asp?ID=887610,22.10.12,2012,Schwarz,Lintukarin Ketku,Niinivuoren Pakkas Vahinko,2,25.09.23,10J 11M,Epilepsie
01.10.23,Lintukarin Lasseviren,http://www.k9data.com/fivegen.asp?ID=695243,22.10.12,2012,Schwarz,Lintukarin Ketku,Niinivuoren Pakkas Vahinko,2,21.03.23,10 J 5M,"Tumor, Krebs"
01.10.23,Mandylike's Porsche,http://www.k9data.com/fivegen.asp?ID=879936,29.04.07,2007,Schwarz,Gameflight Goss,Mandylike's Blissful Bean,1,,,
01.10.23,Mandylike's Twinkle,http://www.k9data.com/fivegen.asp?ID=879933,27.03.09,2009,Gelb,Ffynongain Gunner at Tudorcourt,Mandylike's Nimblewitted Nip,1,,,
01.10.23,Meadowlark Black Kite,http://www.k9data.com/fivegen.asp?ID=601384,18.03.10,2010,Schwarz,Bierspool Blackbill of Lakedown,Birdsgreen Allure of Rushbrigg,1,,,
01.10.23,Meadowlark Marigold,http://www.k9data.com/fivegen.asp?ID=879937,29.08.14,2014,Schwarz,Oakleaf Warlord,Copperbirch Corona,2,,,
01.10.23,Meadowlark Mr Badger,http://www.k9data.com/fivegen.asp?ID=825271,29.08.14,2014,Gelb,Oakleaf Warlord,Copperbirch Corona,2,,,
01.02.25,Merjatuulian Syyssalama,https://jalostus.kennelliitto.fi/frmKoira.aspx?RekNo=FIN48011%2F08&R=122,16.08.08,2008,Schwarz,Sirmakan Fanfaari,Niinivuoren Aamu-Tuima,1,10.06.20,11J 10M,Während eines Anfalls
01.10.23,Merjatuulian Wekkuli,http://www.k9data.com/fivegen.asp?ID=565467,18.11.95,1995,Schwarz,Linttakintun Remu,Linttakintun Alfiina,1,15.08.00,4J 8M,Epilepsie
01.10.23,Meta vom Barkendiek,http://www.k9data.com/fivegen.asp?ID=1258845,19.06.19,2019,Schwarz,Dark Pipe Major vom Südlichen Orakel,Krabbe vom Barkendiek,1,,,
01.10.23,Middle River's Forest Harmony,http://www.k9data.com/fivegen.asp?ID=1306524,02.11.20,2020,Schwarz,Metsäsuharin Muuttolintu,Middle River's Gun Hocus Pocus,1,14.05.23,2J 6M,Epilepsie
